Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Velocity,PositionX,PositionY,HorizontalInput,VerticalInput
2.79967331886292,4.01774406433105,9.52597713470459,10,3.23490500450134,19.83941,-127.4769,-8.620708,-0.231981590390205,0.198228105902672
1.75552296638489,2.6919481754303,8.08604526519775,10,4.38630104064941,18.95939,-118.019,-6.5893,-0.5,0
2.03333449363709,3.73396563529968,10,8.17896366119385,3.52698612213135,17.95937,-110.4604,-1.378739,-0.5,0
3.77721905708313,7.36846542358398,10,3.85910606384277,2.08749461174011,17.51936,-105.5257,5.874206,-0.0972171425819397,0.815447628498077
3.15938758850098,4.97835111618042,10,10,2.86279273033142,18.94275,-101.4969,14.28538,-0.5,0.286095798015594
2.75197434425354,4.43930578231812,10,10,3.41925835609436,18.54274,-99.8467,23.51578,-0.5,0
2.86131572723389,4.53431081771851,10,8.05736541748047,2.9647421836853,18.10273,-101.609,32.46873,-0.318167507648468,0
3.66646456718445,6.61749601364136,10,3.53856348991394,1.97797620296478,18.06273,-106.312,40.11217,-0.5,0.424770563840866
4.39727210998535,6.91599035263062,10,2.01587891578674,1.03128755092621,17.86272,-113.055,46.01508,-0.191830515861511,0.82365870475769
3.71362996101379,5.5371265411377,10,10,1.8031085729599,20,-121.1923,51.24199,-0.187709704041481,1
2.40660166740417,3.86909914016724,10,9.15862083435059,3.81842923164368,20,-130.7044,54.11847,-0.5,1
2.19585704803467,4.00119829177856,10,7.74660587310791,3.90904641151428,20,-140.6968,54.46637,0,1
2.05859208106995,3.87665987014771,10,7.68400859832764,4.01358890533447,20,-150.6954,54.60394,0,1
2.02141189575195,3.86500334739685,10,7.61451292037964,4.03479337692261,20,-160.6952,54.64392,-0.162119090557098,1
2.22168707847595,4.30322599411011,10,7.13476324081421,3.82558059692383,20,-170.6943,54.50756,0,1
2.3815062046051,4.61215114593506,10,6.84233617782593,3.66901588439941,20,-180.6938,54.38778,0,1
2.54135847091675,4.92106485366821,10,6.54992341995239,3.51243257522583,20,-190.6933,54.26799,0,1
2.58552408218384,4.02897310256958,9.83204555511475,10,3.59681463241577,19.67242,-200.6718,54.22063,0,-0.475937992334366
1.62167227268219,2.30988669395447,7.23990345001221,10,5.16599607467651,16.62227,-209.5278,52.9071,-0.5,-0.35776874423027
1.65038573741913,3.21574258804321,10,9.41017150878906,4.14772748947144,15.68418,-216.432,48.78331,-0.5,0
2.27489495277405,4.13709735870361,10,10,3.43730521202087,17.27855,-221.8311,42.8884,-0.233339697122574,1
2.90382289886475,4.71091890335083,10,6.83933544158936,2.8726818561554,18.67866,-226.3839,35.15287,-0.359442919492722,0.800023436546326
1.87051236629486,2.67611312866211,8.48714542388916,10,4.62736845016479,20,-229.2878,25.83394,-0.481434941291809,0.661938369274139
1.44324207305908,2.35791110992432,7.46124267578125,10,4.74821519851685,20,-229.3228,15.89803,-0.5,0.114294275641441
1.63752675056458,2.60176658630371,9.89394569396973,10,4.23268032073975,20,-225.5528,6.705076,-0.5,0.522386610507965
2.68250703811646,5.29070091247559,10,4.76288652420044,2.74083399772644,20,-218.5618,-0.3596072,-0.241069883108139,0.610658645629883
2.31163263320923,3.57628536224365,8.97204399108887,10,3.71731638908386,20,-210.3988,-6.133564,-0.481536358594894,0.655031025409698
1.48866939544678,2.17863988876343,8.33145809173584,10,5.35054349899292,19.75999,-201.1675,-9.657825,-0.5,0.522087275981903
1.72567868232727,3.94546222686768,10,6.96775817871094,4.16878795623779,19.75999,-191.3148,-9.797522,-0.397176474332809,0.590137958526611
2.58991837501526,4.85606002807617,10,6.69309234619141,3.4798526763916,19.11998,-181.575,-9.006824,0.277976036071777,0
2.26610827445984,4.26115798950195,10,7.29671669006348,3.80558514595032,19.55997,-172.0748,-9.253573,0,1
2.27720594406128,4.42621040344238,10,7.00615262985229,3.76872634887695,20,-162.083,-9.278595,0,1
2.55949807167053,5.16922378540039,10,6.26249408721924,3.47954416275024,20,-152.0848,-9.106255,-0.263623237609863,1
2.82743954658508,5.0949912071228,10,6.4627423286438,3.25297093391418,20,-142.0965,-8.771562,0.104415878653526,0.544450879096985
2.70247626304626,5.14232540130615,10,6.87953424453735,3.32093501091003,19.35999,-132.1952,-8.933738,-0.15874770283699,0
3.85257911682129,5.81353282928467,10,4.81481742858887,2.16795659065247,17.60324,-123.025,-7.280422,-0.410691946744919,-1
3.38717532157898,4.92590093612671,10,7.40523624420166,2.21308016777039,13.9882,-116.0105,-3.907341,0,-0.494625985622406
2.64293360710144,3.89216041564941,10,10,3.27022838592529,14.13533,-110.1863,-0.3162627,-0.398368924856186,0.894838869571686
2.67370510101318,4.15199184417725,10,10,3.33626389503479,18.12685,-104.9565,5.84317,-0.143817901611328,1
